Symbol,Sector,Industry,Change,Mcap
FOXA,Consumer Services,Broadcasting,7.0,NA
TWOU,Technology Services,Packaged Software,0.4,2.92
MMM,Producer Manufacturing,Industrial Conglomerates,-1.4,116.72
ABT,Health Technology,Medical Specialties,0.2,196.3
ABBV,Health Technology,Pharmaceuticals: Major,-1.3,203.82
ANF,Retail Trade,Apparel/Footwear Retail,0.1,NA
ACN,Technology Services,Information Technology Services,1.4,181.61
ACEV,Finance,Financial Conglomerates,1.5,NA
ATVI,Consumer Durables,Recreational Products,-1.4,77.06
ADBE,Technology Services,Packaged Software,1.1,266.22
AAP,Retail Trade,Specialty Stores,-0.8,12.99
AMD,Electronic Technology,Semiconductors,0.1,99.08
AFRM,Technology Services,Internet Software/Services,0.7,18.27
AFL,Finance,Life/Health Insurance,-1.0,37.67
A,Health Technology,Medical Specialties,-18.0,43.81
AGL,Health Services,Medical/Nursing Services,-8.0,NA
AGNC,Finance,Real Estate Investment Trusts,4.0,9.25
AIG,Finance,Multi-Line Insurance,-20.0,43.85
AL,Finance,Finance/Rental/Leasing,2.0,5.22
APD,Process Industries,Chemicals: Specialty,-6.0,66.19
ABNB,Technology Services,Internet Software/Services,6.0,92.14
AJAX,Finance,Financial Conglomerates,-7.0,NA
AKAM,Technology Services,Internet Software/Services,-4.0,19.23
ALB,Process Industries,Chemicals: Specialty,11.0,19.64
AA,Non-Energy Minerals,Aluminum,20.0,6.89
ALXN,Health Technology,Biotechnology,-16.0,40.14
BABA,Retail Trade,Internet Retail,13.0,579.98
ALGN,Health Technology,Medical Specialties,-19.0,NA
ALLT,Electronic Technology,Computer Communications,19.0,0.72
MDRX,Technology Services,Information Technology Services,14.0,2.48
ALL,Finance,Property/Casualty Insurance,-4.0,39.2
ALLY,Finance,Regional Banks,15.0,19.79
GOOGL,Technology Services,Internet Software/Services,6.0,NA
GOOG,Technology Services,Internet Software/Services,4.0,1664.0
AYX,Technology Services,Packaged Software,-11.0,5.66
ATUS,Consumer Services,Cable/Satellite TV,-5.0,16.01
MO,Consumer Non-Durables,Tobacco,5.0,88.97
AMZN,Retail Trade,Internet Retail,-19.0,1707.0
ABEV,Consumer Non-Durables,Beverages: Alcoholic,12.0,60.42
AMC,Consumer Services,Movies/Entertainment,1.0,29.25
AMRC,Industrial Services,Engineering & Construction,18.0,3.12
AAL,Transportation,Airlines,-5.0,14.74
AXL,Producer Manufacturing,Auto Parts: OEM,15.0,1.32
AEO,Retail Trade,Apparel/Footwear Retail,3.0,5.82
AEP,Utilities,Electric Utilities,5.0,42.54
AXP,Finance,Finance/Rental/Leasing,13.0,131.58
AMH,Finance,Real Estate Investment Trusts,17.0,12.66
AMT,Finance,Real Estate Investment Trusts,18.0,123.19
COLD,Finance,Real Estate Investment Trusts,-18.0,9.91
AME,Producer Manufacturing,Electrical Products,12.0,31.44
AMGN,Health Technology,Biotechnology,17.0,138.57
FOLD,Health Technology,Biotechnology,9.0,2.85
AMRX,Health Technology,Pharmaceuticals: Major,17.0,0.85
APH,Electronic Technology,Electronic Components,-14.0,40.82
ADI,Electronic Technology,Semiconductors,-6.0,62.12
PLAN,Technology Services,Packaged Software,-17.0,7.62
ANGI,Technology Services,Internet Software/Services,14.0,7.28
AU,Non-Energy Minerals,Precious Metals,13.0,NA
BUD,Consumer Non-Durables,Beverages: Alcoholic,0.0,NA
NLY,Finance,Real Estate Investment Trusts,-16.0,13.0
ANSS,Technology Services,Packaged Software,-17.0,29.5
AM,Industrial Services,Oil & Gas Pipelines,19.0,4.89
AR,Energy Minerals,Oil & Gas Production,-11.0,4.3
ANTM,Health Services,Managed Health Care,-3.0,93.89
AOS,Producer Manufacturing,Building Products,-11.0,11.04
APA,Energy Minerals,Oil & Gas Production,12.0,8.47
APXT,Finance,Financial Conglomerates,-19.0,NA
ARI,Finance,Real Estate Investment Trusts,-4.0,NA
APSG,Finance,Finance/Rental/Leasing,-13.0,NA
APPN,Technology Services,Packaged Software,-5.0,8.33
AAPL,Electronic Technology,Telecommunications Equipment,18.0,2177.0
AMAT,Producer Manufacturing,Industrial Machinery,-5.0,127.07
APP,Technology Services,Packaged Software,12.0,NA
ATR,Process Industries,Containers/Packaging,-15.0,9.42
ARMK,Consumer Services,Restaurants,18.0,9.59
ADM,Process Industries,Agricultural Commodities/Milling,11.0,36.43
ACTC,Finance,Financial Conglomerates,13.0,NA
ARNC,Non-Energy Minerals,Aluminum,-11.0,4.08
ARCT,Health Technology,Pharmaceuticals: Major,15.0,0.94
ARCC,Finance,Investment Managers,-2.0,8.69
ANET,Electronic Technology,Computer Communications,3.0,27.84
ARR,Finance,Real Estate Investment Trusts,5.0,NA
ARVL,Consumer Durables,Motor Vehicles,-13.0,NA
AACQ,Finance,Financial Conglomerates,3.0,NA
ASAN,Technology Services,Packaged Software,19.0,NA
ASML,Producer Manufacturing,Industrial Machinery,-1.0,295.93
AZN,Health Technology,Pharmaceuticals: Major,9.0,155.08
HOME,Retail Trade,Specialty Stores,-13.0,2.36
T,Communications,Major Telecommunications,-17.0,207.7
AY,Utilities,Alternative Power Generation,-3.0,4.17
ACIC,Finance,Financial Conglomerates,14.0,NA
TEAM,Technology Services,Packaged Software,5.0,62.73
ADSK,Technology Services,Packaged Software,3.0,61.71
ATHM,Technology Services,Internet Software/Services,8.0,NA
ADP,Technology Services,Data Processing Services,18.0,84.75
AZO,Retail Trade,Specialty Stores,-9.0,29.96
AVLR,Technology Services,Packaged Software,-9.0,12.04
AVB,Finance,Real Estate Investment Trusts,9.0,29.9
EQH,Finance,Financial Conglomerates,16.0,13.34
AXTA,Process Industries,Industrial Specialties,3.0,7.29
AXON,Electronic Technology,Aerospace & Defense,9.0,NA
BTG,Non-Energy Minerals,Precious Metals,18.0,5.21
BIDU,Technology Services,Internet Software/Services,-9.0,65.96
BKR,Industrial Services,Oilfield Services/Equipment,9.0,25.76
BLL,Process Industries,Containers/Packaging,10.0,26.62
BLDP,Producer Manufacturing,Electrical Products,13.0,5.32
BBD,Finance,Major Banks,-1.0,55.23
BMA,Finance,Regional Banks,-19.0,NA
BSBR,Finance,Regional Banks,15.0,33.43
BAC,Finance,Major Banks,7.0,354.42
BZUN,Retail Trade,Internet Retail,-11.0,NA
BCS,Finance,Major Banks,-8.0,43.09
GOLD,Non-Energy Minerals,Precious Metals,-9.0,41.37
BHC,Health Technology,Pharmaceuticals: Other,-14.0,11.37
BAX,Health Technology,Medical Specialties,12.0,41.62
BBAR,Finance,Regional Banks,16.0,NA
BDX,Health Technology,Medical Specialties,-3.0,70.58
BDC,Producer Manufacturing,Electrical Products,-12.0,2.36
BRK.B,Finance,Multi-Line Insurance,-6.0,NA
BBY,Retail Trade,Electronics/Appliance Stores,3.0,28.56
BYND,Consumer Non-Durables,Food: Major Diversified,-14.0,9.55
BHP,Non-Energy Minerals,Other Metals/Minerals,-14.0,190.82
BILI,Technology Services,Internet Software/Services,-14.0,43.77
BIO,Health Technology,Medical Specialties,2.0,17.94
BIIB,Health Technology,Biotechnology,-20.0,61.14
BMRN,Health Technology,Biotechnology,1.0,15.07
BNTX,Health Technology,Biotechnology,-10.0,53.27
BJ,Retail Trade,Specialty Stores,-1.0,6.61
BB,Technology Services,Packaged Software,-15.0,7.98
BLK,Finance,Investment Managers,-5.0,133.73
BX,Finance,Investment Managers,-20.0,67.37
BK,Finance,Major Banks,-19.0,43.45
BA,Electronic Technology,Aerospace & Defense,10.0,143.36
BKNG,Consumer Services,Other Consumer Services,7.0,94.62
BAH,Commercial Services,Miscellaneous Commercial Services,16.0,11.85
BWA,Producer Manufacturing,Auto Parts: OEM,-6.0,12.46
BSX,Health Technology,Medical Specialties,-14.0,60.44
BOX,Technology Services,Information Technology Services,-16.0,4.09
BP,Energy Minerals,Integrated Oil,3.0,94.66
BRFS,Consumer Non-Durables,Food: Meat/Fish/Dairy,-1.0,4.71
BMY,Health Technology,Pharmaceuticals: Major,-1.0,150.24
BRX,Finance,Real Estate Investment Trusts,5.0,7.09
AVGO,Electronic Technology,Semiconductors,11.0,194.28
